estado,cidade,bairro,endereco,preco,avaliacao,desconto,modalidade,descricao,link,foto,first_time_seen,not_seen_since
AC,CRUZEIRO DO SUL,,"RUA YACO, N. S/N, QUARTEIRÃO 82, LOTE 12",123369.0,170000.0,27.43,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 550.00 de área do terreno.",10005116,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,,"Rua Nilo Peçanha, N. 490, St 2-A, Qd 68",185919.35,340000.0,45.32,Venda Direta Online,"Casa, 193.50 de área total, 193.50 de área privativa, 300.00 de área do terreno, 2 qto(s), varanda, a.serv, WC, 1 sala(s), sacada, cozinha.",1444405653703,Ver foto,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,,"Rua Nossa Senhora das Graças, N. s/n°, Setor 04-B, Quarteirão n° 952, Lote 01",85272.01,132000.0,35.4,Venda Direta Online,"Casa, 96.00 de área total, 96.00 de área privativa, 300.00 de área do terreno, 2 qto(s), a.serv, 1 suite(s), WC, 1 sala(s), cozinha.",1444409605932,Ver foto,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,,"Rua Projetada, Lt 04, Qd 05",124678.01,193000.0,35.4,Venda Direta Online,"Casa, 148.09 de área total, 148.09 de área privativa, 300.00 de área do terreno, 2 qto(s), varanda, a.serv, 1 suite(s), WC, 1 sala(s), sacada, cozinha.",1444403684881,Ver foto,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,,"Rua Rio Grande do Sul, N. s/n°, St 03-B, Qd 417, Lt 01",639540.01,990000.0,35.4,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 14400.00 de área do terreno.",1555531302711,,2021-08-22,2021-09-03
AC,CRUZEIRO DO SUL,,"Rua da Alegria, N. 301, Quarteirão 249-I, Lt 30",138890.01,215000.0,35.4,Venda Direta Online,"Casa, 130.68 de área total, 130.68 de área privativa, 700.00 de área do terreno, 3 qto(s), varanda, a.serv, 1 suite(s), WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.",1444407152647,,2021-08-22,2021-09-03
AC,EPITACIOLANDIA,CENTRO,"AV AMAZONAS, N. 117, LT 0001, QD 061",203500.0,370000.0,45.0,Venda Direta Online,"Comercial, 179.83 de área total, 179.83 de área privativa, 362.63 de área do terreno.",1555528874041,,2021-08-22,2021-09-03
AC,EPITACIOLANDIA,CENTRO,"R FLOR DE MAIO, N. 100, Lote 14, Quadra 03",317186.0,491000.0,35.4,Venda Direta Online,"Casa, 0.00 de área total, 300.00 de área privativa, 311.90 de área do terreno, varanda, a.serv, WC, 1 sala(s), cozinha.",1444407866747,,2021-08-22,2021-09-03
AC,EPITACIOLANDIA,,"RUA DUQUE DE CAXIAS, N. 647, LT 10 QD11",96900.01,150000.0,35.4,Venda Direta Online,"Casa, 0.00 de área total, 122.17 de área privativa, 300.00 de área do terreno, 3 qto(s), a.serv, WC, 2 sala(s), DCE, cozinha.",1555517646018,,2021-08-22,2021-09-03
AC,EPITACIOLANDIA,,"Rodovia BR 317 Km 06, Lt 82-9",117000.0,260000.0,55.0,Venda Direta Online,"Terreno, 33058.00 de área total, 0.00 de área privativa, 33058.00 de área do terreno.",1555527089782,Ver foto,2021-08-22,2021-09-03
AC,FEIJO,CENTRO,"Rua Das Palmeiras, N. 1451, Quadra 65, Setor 06",62000.0,155000.0,60.0,Venda Direta Online,"Terreno, 1000.00 de área total, 0.00 de área privativa, 1000.00 de área do terreno.",10005524,,2021-08-22,2021-09-03
AC,FEIJO,,"Rua Aricuri, N. S/N, St 06, Qd 47, Unid. 89",49302.9,87000.0,43.33,Venda Direta Online,"Casa, 60.00 de área total, 60.00 de área privativa, 300.00 de área do terreno, 2 qto(s), varanda, a.serv, WC, 1 sala(s), sacada, cozinha.",8444411188942,,2021-08-22,2021-09-03
AC,FEIJO,,"Rua Joel Ferreira de Souza, N. 033-A, St 04, Qd 04",31735.21,56000.0,43.33,Venda Direta Online,"Comercial, 42.93 de área total, 42.93 de área privativa, 320.50 de área do terreno.",8444408446669,,2021-08-22,2021-09-03
AC,RIO BRANCO,AEROPORTO VELHO,"Rua Acre, N. 298",92372.11,163000.0,43.33,Venda Direta Online,"Casa, 70.00 de área total, 70.00 de área privativa, 400.00 de área do terreno, a.serv, 3 suite(s), 1 sala(s), sacada, cozinha.",8555516571730,,2021-08-22,2021-09-03
AC,RIO BRANCO,AEROPORTO VELHO,"Rua Acre, N. 298",92372.11,163000.0,43.33,Venda Online,"Casa, 70.00 de área total, 70.00 de área privativa, 400.00 de área do terreno, a.serv, 3 suite(s), 1 sala(s), sacada, cozinha.",8555516571730,,2021-08-29,2021-09-03
