link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado
1444409047603,"Rua Manoel do Carmo Quadra 03 Lote 23, N. 26, PAVIMENTO TÉRREO",TANCREDO NEVES,"Outros, 128.00 de área total, 128.00 de área privativa, 0.00 de área do terreno, 2 qto(s), a.serv, 1 suite(s), WC, 1 sala(s), cozinha.",139712.38,227000.0,38.46,Venda Direta Online,Ver foto,SALVADOR,BA
1555508324089,"Rua José Augusto Tourinho Dantas, N. 00",STELLA MARIS,"Terreno, 0.00 de área total, 0.00 de área privativa, 3610.00 de área do terreno.",1040000.0,1600000.0,35.0,Venda Direta Online,Ver foto,SALVADOR,BA
1555525941430,"Rua da Palestina, N. 47, antigo nº 6",URUGUAI,"Prédio, 263.58 de área total, 263.58 de área privativa, 71.50 de área do terreno.",244376.01,440000.0,44.46,Venda Direta Online,Ver foto,SALVADOR,BA
1555534053259,"Rua Dr. Antonio de Oliveira, N. 51-A, Apto 101",VILA CANARIA,"Apartamento, 103.00 de área total, 103.00 de área privativa, 0.00 de área do terreno, 1 qto(s), varanda, a.serv, 1 suite(s), WC, 1 sala(s), cozinha.",113516.78,205000.0,44.63,Venda Direta Online,Ver foto,SALVADOR,BA
8006100017234,"Estrada da Canabrava Cd. Res. Jd. da Limeiras, N. 193, Apto 304, Bl-18",PAU DA LIMA,"Apartamento, 60.82 de área total, 57.99 de área privativa, 16.32 de área do terreno, 2 qto(s).",106425.0,193500.0,45.0,Venda Direta Online,,SALVADOR,BA
8095100001297,"Rua Três Marias, N. 25, Antiga Est da Cassange",SAO CRISTOVAO,"Casa, 0.00 de área total, 131.00 de área privativa, 8252.00 de área do terreno, 1 qto(s), varanda, a.serv, 1 suite(s), WC, 1 sala(s), cozinha.",331265.0,602300.0,45.0,Venda Direta Online,,SALVADOR,BA
8099108044460,"R Direita da Sussuarana Cj Hab Sussuarana R A St B, Bl 02 Apto. 202",SUSSUARANA,"Apartamento, 47.66 de área total, 43.58 de área privativa, 0.00 de área do terreno, 2 qto(s), a.serv, WC, 1 sala(s), cozinha.",40500.0,90000.0,55.0,Venda Online,,SALVADOR,BA
8099108052098,"R Direta de Sussuarana Conj Hab Sussuarana St A, N. S/N, Apto 002, R A Bl 20 Apto 002",SUSSUARANA,"Apartamento, 47.66 de área total, 43.58 de área privativa, 0.00 de área do terreno, 2 qto(s), a.serv, WC, 1 sala(s), cozinha.",49500.0,110000.0,55.0,Venda Online,Ver foto,SALVADOR,BA
8151700011310,"Rua Osório Vilas Boas, N. 001, Pavimento Superior",SANTO ANTONIO,"Apartamento, 42.00 de área total, 42.00 de área privativa, 0.00 de área do terreno, 2 qto(s), WC, 1 sala(s), cozinha.",53384.18,94200.0,43.33,Venda Direta Online,,SALVADOR,BA
8444400328780,Rua Primeiro de Janeiro atual nº 104,CIDADE NOVA,"Casa, 122.00 de área total, 122.00 de área privativa, 92.40 de área do terreno, 3 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha.",51003.01,90000.0,43.33,Venda Direta Online,Ver foto,SALVADOR,BA
8444401818480,"R GUILHERME DIAS, N. 97, nº 101",ALTO DO PERU,"Casa, 44.00 de área total, 44.00 de área privativa, 0.00 de área do terreno, 2 qto(s), a.serv, WC, 1 sala(s), cozinha.",41935.8,74000.0,43.33,Venda Direta Online,Ver foto,SALVADOR,BA
8444403798206,"1ª Etapa. Rodovia BA-528. Caminho 10, N. 179, atual Rua Canavieiras, 179.",NOVA BRASILIA DE VALERIA,"Terreno, 0.00 de área total, 0.00 de área privativa, 126.00 de área do terreno.",31735.2,56000.0,43.33,Venda Online,Ver foto,SALVADOR,BA
8444404226419,"TEODOLINA MACEDO CAMPOS, N. 61, Apto 301, Quadra OF",CAJAZEIRAS II,"Apartamento, 45.86 de área total, 42.05 de área privativa, 0.00 de área do terreno, 2 qto(s), WC, 1 sala(s), cozinha.",40235.71,71000.0,43.33,Venda Direta Online,Ver foto,SALVADOR,BA
